PTN1,PTN2,PTN3,PTN4,PTN5,PTN6,PTN7,PTN8,PTN9,PTN10,PTN11,PTN12,PTN13,PTN14,PTN15,PTN16,PTN17,PTN18,PTN19,PTN20,PTN21,PTN22,PTN23,PTN24,PTN25,PTN26,PTN27,PTN28,PTN29,PTN30,PTN31,PTN32,PTN33,PTN34,PTN35,PTN36,PTN37,PTN38,PTN39,PTN40,PTN41,PTN42,PTN43,PTN44,PTN45,PTN46,PTN47,PTN48,PTN49,PTN50,PTN51
2,16,35,16,2,35,16,48,16,2,2,35,35,35,35,2,35,2,1,2,16,35,2,16,16,16,48,2,2,16,16,2,35,16,16,35,2,2,35,16,48,16,35,48,16,16,2,35,16,16,16
4,33,4,13,33,13,4,1,33,49,33,33,4,13,33,49,33,4,4,33,13,33,13,33,1,1,13,4,13,13,13,13,33,13,4,13,33,13,33,13,13,13,4,33,13,49,13,33,33,13,13
21,37,37,21,21,21,21,48,48,1,1,37,48,21,37,37,21,1,1,1,11,1,11,11,11,11,37,1,1,11,37,21,11,1,21,21,21,11,37,11,37,11,37,48,21,21,1,21,21,21,37
2,16,33,16,2,33,16,47,16,2,2,33,33,33,33,2,33,2,1,2,16,33,2,16,16,16,47,2,2,16,16,2,33,16,16,33,2,2,33,16,47,16,33,47,16,16,2,33,16,33,47
7,39,21,39,39,7,21,49,21,7,7,21,39,21,49,7,1,1,1,21,1,7,21,7,21,21,39,7,1,21,39,7,7,1,7,21,7,7,21,21,39,21,39,49,21,21,7,21,39,21,39
14,31,31,14,14,31,31,31,50,5,1,31,31,31,31,31,14,1,1,1,5,14,5,14,14,14,31,14,5,31,14,14,5,31,14,31,5,14,31,31,31,5,31,50,14,14,5,14,14,5,31
