PLINE1,PLINE2,PLINE3,PLINE4,PLINE5,PLINE6,PLINE7,PLINE8,PLINE9,PLINE10,PLINE11,PLINE12,PLINE13,PLINE14,PLINE15,PLINE16,PLINE17,PLINE18
,,,1,1,,,,,,,,1,1,,,,1
,,,,,,1,,1,,1,,,1,,,,1
1,,,,1,,,,,,1,,,1,,,,1
,,,,,,,,,,,,,,,,,
,,,1,,,,,,,1,,1,1,,,,1
