PLINE1,PLINE2,PLINE3,PLINE4,PLINE5,PLINE6,PLINE7,PLINE8,PLINE9,PLINE10,PLINE11,PLINE12,PLINE13,PLINE14,PLINE15,PLINE16,PLINE17,PLINE18
1,1,1,2,2,1,3,1,1,0,1,0,1,3,0,1,1,3
2,3,2,2,3,1,2,1,3,1,2,2,2,1,3,1,3,1
0,1,1,1,3,0,3,1,2,2,1,0,1,4,0,1,1,4
0,1,0,2,3,0,3,1,1,2,1,0,1,4,0,1,1,4
2,2,0,4,2,0,2,1,4,2,4,1,2,4,0,4,2,4
2,1,1,2,3,0,1,1,1,0,3,1,1,4,0,2,1,4
